"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD"
"468","NDUFS7","Thyroid","DEG",0.416357230539055,0.600994596835162,0.0171057297040959,"NO"
"469","NDUFS7","Estrogen","DEG",0.416357230539055,0.600994596835162,0.0171057297040959,"NO"
"470","NEAT1","Androgen","DEG",-0.510552094880037,-0.46093857265185,0.0396135053251309,"NO"
"471","NEAT1","Progesterone","DEG",-0.510552094880037,-0.46093857265185,0.0396135053251309,"NO"
"472","NEFL","Corticoid","DEG",0.17224824561444,-0.674960373302713,0.000117081046024042,"YES"
"473","NEIL1","Estrogen","DEG",-0.133000476697795,-0.530218094983513,0.00309263272499865,"NO"
"475","NFE2L1","Androgen","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"476","NFE2L1","Retinoic","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"477","NFE2L1","Corticoid","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"478","NFE2L1","Thyroid","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"479","NFE2L1","Estrogen","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"480","NFE2L1","PPAR","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO"
"485","NKD2","Retinoic","DEG",-0.262834848570132,-0.844675245164736,0.0226793050219415,"NO"
"486","NKD2","Estrogen","DEG",-0.262834848570132,-0.844675245164736,0.0226793050219415,"NO"
"490","NQO1","Thyroid","DEG",0.18825517156082,0.598139621362394,0.00848403268924318,"NO"
"491","NQO1","PPAR","DEG",0.18825517156082,0.598139621362394,0.00848403268924318,"NO"
"492","NQO1","Estrogen","DEG",0.18825517156082,0.598139621362394,0.00848403268924318,"NO"
"493","NQO1","Retinoic","DEG",0.18825517156082,0.598139621362394,0.00848403268924318,"NO"
"494","NR1D2","Thyroid","PsychencodeTF",0.185273672893754,0.132422752842898,0.0110802969988135,"NO"
"495","NR1D2","Estrogen","PsychencodeTF",0.185273672893754,0.132422752842898,0.0110802969988135,"NO"
"496","NR1D2","Corticoid","PsychencodeTF",0.185273672893754,0.132422752842898,0.0110802969988135,"NO"
"497","NR1D2","Progesterone","PsychencodeTF",0.185273672893754,0.132422752842898,0.0110802969988135,"NO"
"498","NR2C1","Retinoic","PsychencodeTF",-0.233385652912258,-0.278303763025911,0.00889259014875534,"NO"
"499","NR2C1","Thyroid","PsychencodeTF",-0.233385652912258,-0.278303763025911,0.00889259014875534,"NO"
"500","NR3C2","Thyroid","PsychencodeTF",0.0251848831344553,0.309674349192996,0.00980355612381733,"YES"
"501","NR3C2","Corticoid","PsychencodeTF",0.0251848831344553,0.309674349192996,0.00980355612381733,"YES"
"502","NR5A2","Estrogen","PsychencodeTF&DEG",0.0928044130171977,-0.61992176564139,0.0335567144104761,"NO"
"503","NR5A2","Thyroid","PsychencodeTF&DEG",0.0928044130171977,-0.61992176564139,0.0335567144104761,"NO"
"504","NR6A1","Thyroid","PsychencodeTF&DEG",-0.248525302392695,-0.580927597128913,0.00459098859703784,"NO"
"505","NRBP2","Androgen","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"506","NRBP2","PPAR","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"507","NRBP2","Estrogen","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"508","NRBP2","Retinoic","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"509","NRBP2","Corticoid","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"510","NRBP2","Progesterone","DEG",-0.503750158185751,-0.485009121865089,0.000203270232213033,"NO"
"517","NUDT13","Thyroid","DEG",-0.544551267113581,-0.527752483157113,0.0366384963034707,"NO"
"518","OGN","Thyroid","DEG",-0.163652616295894,-0.933801424490712,0.0134399319229003,"NO"
"519","OLFM3","Thyroid","DEG",0.514656950529577,0.17292364895133,0.00985638172346825,"YES"
"520","OLFML1","Thyroid","DEG",-0.614685879596943,-1.07848870575928,0.0117761858077858,"NO"
"522","ONECUT2","Thyroid","PsychencodeTF&DEG",0.0244117355028685,-0.639925659232928,0.00175934849593666,"NO"
"523","P2RX7","Estrogen","DEG",-0.17328863443941,-0.900516953259507,0.0160290087429754,"YES"
"524","P2RX7","Thyroid","DEG",-0.17328863443941,-0.900516953259507,0.0160290087429754,"YES"
"525","P2RY14","Thyroid","DEG",-0.625015417104674,-1.0029096989946,0.0289595412706884,"NO"
"526","PABPC1L","Thyroid","DEG",-0.574583605984179,-0.321335910355615,0.0267133519501787,"NO"
"527","PAPPA","Corticoid","DEG",-0.476281992688163,-0.721919035467522,0.00549307939186351,"NO"
"529","PCDH9","Estrogen","DEG",-0.353296480738318,-0.51191575411164,0.00061209823772461,"YES"
"532","PDIA2","Thyroid","DEG",-0.34175626539161,-0.578018871637952,0.0452010130150742,"NO"
"533","PDZD7","Estrogen","DEG",-0.419010933198252,-0.893453277672234,0.00198135890545229,"NO"
"534","PHGDH","Estrogen","DEG",0.338810620038813,0.531806914844318,0.000365068056502048,"NO"
"535","PHGDH","Thyroid","DEG",0.338810620038813,0.531806914844318,0.000365068056502048,"NO"
"537","PKMYT1","Thyroid","DEG",0.813205610892794,0.765920362345957,0.0110282186376626,"NO"
"538","PKMYT1","Estrogen","DEG",0.813205610892794,0.765920362345957,0.0110282186376626,"NO"
"539","PKMYT1","PPAR","DEG",0.813205610892794,0.765920362345957,0.0110282186376626,"NO"
"540","PLCE1","Thyroid","DEG",-0.532537814382793,0.0862193511865873,0.00164879395586794,"NO"
"541","PLCXD3","Estrogen","DEG",-0.127035460941804,-0.548821925221212,0.0133923073243061,"YES"
"542","PLIN4","Corticoid","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"543","PLIN4","Androgen","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"544","PLIN4","Progesterone","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"545","PLIN4","Retinoic","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"546","PLIN4","PPAR","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"547","PLIN4","Thyroid","DEG",-0.554226613794866,-0.706970012249201,0.00838034354937297,"NO"
"548","PLXND1","Androgen","DEG",-0.164453869632421,-0.629994671421812,0.010700450763746,"NO"
"549","PODXL","Retinoic","DEG",-0.562134859117822,-0.0623724796072927,0.00172956086444894,"NO"
"550","PODXL","Estrogen","DEG",-0.562134859117822,-0.0623724796072927,0.00172956086444894,"NO"
"551","POSTN","Thyroid","DEG",-0.627172375605265,-2.49397346590605,0.000993791241006692,"NO"
"552","POSTN","Progesterone","DEG",-0.627172375605265,-2.49397346590605,0.000993791241006692,"NO"
"553","POSTN","Estrogen","DEG",-0.627172375605265,-2.49397346590605,0.000993791241006692,"NO"
"554","POU4F2","Estrogen","PsychencodeTF&DEG",0.395518794467662,-0.657705154528868,0.0326658420302039,"NO"
"561","PRDM16","Thyroid","PsychencodeTF",0.243105999603711,0.431469420297398,0.0266221411414178,"NO"
"565","PROM2","Estrogen","DEG",-0.483278595216333,-0.548104224819031,0.00194806712180685,"NO"
"566","PROM2","Progesterone","DEG",-0.483278595216333,-0.548104224819031,0.00194806712180685,"NO"
"567","PTCH2","Thyroid","DEG",-1.07668020025538,-0.998660322871019,0.0165465205332872,"NO"
"568","PTGES","Estrogen","DEG",-0.415166087844605,-0.705848071889705,0.00119324661289048,"NO"
"569","PTGES","Retinoic","DEG",-0.415166087844605,-0.705848071889705,0.00119324661289048,"NO"
"570","PTHLH","Estrogen","DEG",0.0736118858267713,1.11414706083453,0.0312195741289284,"NO"
"571","PTHLH","Progesterone","DEG",0.0736118858267713,1.11414706083453,0.0312195741289284,"NO"
"577","RABAC1","Estrogen","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO"
"578","RABAC1","Thyroid","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO"
"579","RABAC1","PPAR","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO"
"580","RABAC1","Corticoid","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO"
"581","RABAC1","Progesterone","DEG",0.310941658278264,0.500480348660053,0.00925825084647579,"NO"
"582","RAD52","Thyroid","DEG",-0.507115016201463,-0.469424028605952,0.00127908238295485,"NO"
"585","RBPMS","Estrogen","DEG",-0.170802792871547,-0.646108611308362,0.0114019217486277,"NO"
"586","RBPMS","Thyroid","DEG",-0.170802792871547,-0.646108611308362,0.0114019217486277,"NO"
"590","RELA","Androgen","PsychencodeTF",0.0428133461010799,0.13564191678651,0.04306753263541,"NO"
"591","RELA","Progesterone","PsychencodeTF",0.0428133461010799,0.13564191678651,0.04306753263541,"NO"
"592","RELA","Thyroid","PsychencodeTF",0.0428133461010799,0.13564191678651,0.04306753263541,"NO"
"593","RELA","Corticoid","PsychencodeTF",0.0428133461010799,0.13564191678651,0.04306753263541,"NO"
"594","RERG","Estrogen","DEG",0.588381613494822,-0.3326037177879,0.0477650239405871,"NO"
"595","RERG","Thyroid","DEG",0.588381613494822,-0.3326037177879,0.0477650239405871,"NO"
"596","RFX5","PPAR","PsychencodeTF",-0.149819885565329,-0.277358620409869,0.00806620323534747,"NO"
"597","RFX5","Estrogen","PsychencodeTF",-0.149819885565329,-0.277358620409869,0.00806620323534747,"NO"
"598","RFX5","Retinoic","PsychencodeTF",-0.149819885565329,-0.277358620409869,0.00806620323534747,"NO"
"599","RGS10","Corticoid","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"600","RGS10","PPAR","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"601","RGS10","Estrogen","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"602","RGS10","Retinoic","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"603","RGS10","Androgen","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"604","RGS10","Thyroid","DEG",0.162154383242674,-0.896529874124937,0.0372087758138121,"NO"
"605","RHOF","PPAR","DEG",0.183625591734369,0.715971596045201,0.0185342185483846,"NO"
"606","RIBC2","Androgen","DEG",-0.30659794902181,0.525694532265161,0.0113367525386081,"NO"
"607","RIBC2","Estrogen","DEG",-0.30659794902181,0.525694532265161,0.0113367525386081,"NO"
"608","RMI2","Retinoic","DEG",0.505698979844483,0.136172371822889,0.0377572934650956,"NO"
"609","ROPN1L","Thyroid","DEG",-0.0843151757151438,0.850296654022096,0.0406559524664585,"NO"
"611","RPLP1","Thyroid","DEG",0.214123615207517,0.588863062648015,0.0416094244828986,"NO"
"612","RPLP1","Estrogen","DEG",0.214123615207517,0.588863062648015,0.0416094244828986,"NO"
"613","RPS15A","Thyroid","DEG",-0.318815835247253,-0.228663204982052,0.00517814756164758,"NO"
"617","RUNX1","Estrogen","DEG",0.389656553235118,-0.793374866099189,0.0262050751823174,"NO"
"618","S1PR3","Thyroid","DEG",0.207693462868085,0.801589013743214,0.00796247350056941,"NO"
"619","S1PR3","Estrogen","DEG",0.207693462868085,0.801589013743214,0.00796247350056941,"NO"
"620","S1PR3","Corticoid","DEG",0.207693462868085,0.801589013743214,0.00796247350056941,"NO"
"621","SALL4","Estrogen","DEG",-0.309178249333693,-0.914568963569872,0.0226152037311354,"NO"
"622","SAT1","Estrogen","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"623","SAT1","Androgen","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"624","SAT1","Corticoid","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"625","SAT1","Progesterone","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"626","SAT1","Thyroid","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"627","SAT1","Retinoic","DEG",-0.689759857996422,-0.218655655903328,0.00273697767710921,"NO"
"628","SCIN","Estrogen","DEG",-0.897438510116257,0.27397543697774,0.0396135053251309,"NO"
"629","SCIN","Androgen","DEG",-0.897438510116257,0.27397543697774,0.0396135053251309,"NO"
"630","SEMA3A","Estrogen","DEG",-0.0832614838935333,-0.625372575063252,0.0251243056183106,"NO"
"631","SEMA3A","Thyroid","DEG",-0.0832614838935333,-0.625372575063252,0.0251243056183106,"NO"
"632","SEMA3A","PPAR","DEG",-0.0832614838935333,-0.625372575063252,0.0251243056183106,"NO"
"633","SEMA3E","Progesterone","DEG",0.142133965550698,-0.761620086207425,0.0115035439102171,"NO"
"636","SERPINB9","Thyroid","DEG",0.0869893507823516,-0.885797797329849,0.00106699356104667,"NO"
"637","SERPINB9","Estrogen","DEG",0.0869893507823516,-0.885797797329849,0.00106699356104667,"NO"
"642","SGK2","Estrogen","DEG",-0.558265594476453,-0.599522173567086,0.0435907121106919,"NO"
"643","SGK2","Thyroid","DEG",-0.558265594476453,-0.599522173567086,0.0435907121106919,"NO"
"644","SH3TC2","Estrogen","DEG",0.841960385598456,0.596740992388425,0.0209715799281685,"NO"
"645","SH3TC2","Retinoic","DEG",0.841960385598456,0.596740992388425,0.0209715799281685,"NO"
"646","SIDT1","Estrogen","DEG",-0.514667368632571,-0.899649779788102,0.0338330796217085,"NO"
"650","SLC16A6","Estrogen","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"651","SLC16A6","Progesterone","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"652","SLC16A6","Retinoic","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"653","SLC16A6","PPAR","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"654","SLC16A6","Corticoid","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"655","SLC16A6","Thyroid","DEG",-0.241301797419799,0.575115807372489,0.000840179899651478,"NO"
"656","SLC35F2","Estrogen","DEG",0.792904202481192,0.283140192749014,0.00150310843640361,"NO"
"657","SLC6A1","Estrogen","DEG",-0.210675339002939,-0.578226378950014,0.002909871861664,"YES"
"658","SLC8A1","Estrogen","DEG",-0.584869014541011,-0.0984835120269058,0.00583628399148514,"YES"
"659","SLC9A4","Thyroid","DEG",-0.479547888351676,-0.644142094985993,0.0159060518454157,"NO"
"660","SMIM5","Estrogen","DEG",-0.774446309998392,-0.600871116147106,0.0140726293550013,"NO"
"665","SNAI1","PPAR","PsychencodeTF&DEG",0.0545433234358656,-0.541419583116797,0.0120667406550169,"NO"
"666","SNAI1","Thyroid","PsychencodeTF&DEG",0.0545433234358656,-0.541419583116797,0.0120667406550169,"NO"
"667","SNAI1","Progesterone","PsychencodeTF&DEG",0.0545433234358656,-0.541419583116797,0.0120667406550169,"NO"
"668","SNAI2","Estrogen","PsychencodeTF&DEG",-0.135458250531502,-0.932039325864206,0.0237644463235054,"NO"
"669","SNAI2","Thyroid","PsychencodeTF&DEG",-0.135458250531502,-0.932039325864206,0.0237644463235054,"NO"
"672","SOD3","Thyroid","DEG",0.0666950376034523,0.946597917240904,0.0450345100235673,"NO"
