"","Gene","Pathway","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"259","EDNRA","Thyroid","DEG",-0.183450995287246,-1.51644564860499,0.000534755878262269
"260","EFEMP1","Estrogen","DEG",-0.00760738536830142,-0.0930913271271839,0.872742350243232
"261","EFNA5","Thyroid","DEG",0.510440046202,-0.124554051449789,0.0120667406550169
"262","EFNA5","Estrogen","DEG",0.510440046202,-0.124554051449789,0.0120667406550169
"263","EFNA5","PPAR","DEG",0.510440046202,-0.124554051449789,0.0120667406550169
"264","EFNB3","Estrogen","DEG",-0.13030254509344,-0.546455265587588,0.0015174870250371
"265","EFNB3","Androgen","DEG",-0.13030254509344,-0.546455265587588,0.0015174870250371
"266","EGF","Estrogen","DEG",-0.833542073649662,-0.342255916679542,0.0445673206164762
"267","EIF5B","Androgen","DEG",0.278265512211193,0.117893091517222,0.359503417322596
"268","EIF5B","Estrogen","DEG",0.278265512211193,0.117893091517222,0.359503417322596
"269","ELK4","Androgen","PsychencodeTF",0.0146743508322895,-0.0727425794807491,0.179847951054525
"270","EMILIN1","Thyroid","DEG",0.32072501668959,-0.930676594908432,0.00157867400664463
"271","EMILIN1","PPAR","DEG",0.32072501668959,-0.930676594908432,0.00157867400664463
"272","ENG","Thyroid","DEG",-0.224592642806124,-0.554890941615859,0.0492228536300098
"273","ENG","Corticoid","DEG",-0.224592642806124,-0.554890941615859,0.0492228536300098
"274","EPHA7","Estrogen","DEG",0.652159567277465,0.308450202761532,0.0337283180941395
"275","ESRRA","Estrogen","PsychencodeTF",0.198367347558817,0.484018034611833,0.00470250825474007
"276","ESRRA","PPAR","PsychencodeTF",0.198367347558817,0.484018034611833,0.00470250825474007
"277","ESRRA","Thyroid","PsychencodeTF",0.198367347558817,0.484018034611833,0.00470250825474007
"278","FABP3","PPAR","DEG",-0.547946273996443,-0.508394794752759,0.00848437409960864
"279","FABP7","PPAR","DEG",-0.584771732860321,-0.217145373315048,0.0313881338302605
"280","FAM107A","Thyroid","DEG",-0.439795154875567,0.622949790193509,0.0149936706981429
"281","FAM107A","Corticoid","DEG",-0.439795154875567,0.622949790193509,0.0149936706981429
"282","FAM107A","Androgen","DEG",-0.439795154875567,0.622949790193509,0.0149936706981429
"283","FAM167A","Thyroid","DEG",-0.00116256851226861,0.00679455102173726,0.99365654868495
"284","FAM183A","Thyroid","DEG",-0.14142429466422,0.594330259660008,0.0402444423535211
"285","FAM83B","Estrogen","DEG",-0.962117509314738,0.254216471116469,0.0239090755665099
"286","FBLN1","Thyroid","DEG",0.563728093706072,0.431424931465714,0.0273759069283273
"287","FBLN1","Androgen","DEG",0.563728093706072,0.431424931465714,0.0273759069283273
"288","FBLN5","Thyroid","DEG",0.0120755039420293,0.545254432997139,0.00539223729776914
"289","FBLN5","Estrogen","DEG",0.0120755039420293,0.545254432997139,0.00539223729776914
"290","FHDC1","Progesterone","DEG",0.545980727637518,0.183473388633874,0.0156549161254998
"291","FHDC1","Androgen","DEG",0.545980727637518,0.183473388633874,0.0156549161254998
"292","FHDC1","PPAR","DEG",0.545980727637518,0.183473388633874,0.0156549161254998
"293","FHDC1","Corticoid","DEG",0.545980727637518,0.183473388633874,0.0156549161254998
"294","FHDC1","Estrogen","DEG",0.545980727637518,0.183473388633874,0.0156549161254998
"295","FOXM1","Androgen","PsychencodeTF",0.215300372713745,0.222981537279094,0.605879296683787
"296","FOXM1","Thyroid","PsychencodeTF",0.215300372713745,0.222981537279094,0.605879296683787
"297","FOXM1","Corticoid","PsychencodeTF",0.215300372713745,0.222981537279094,0.605879296683787
"298","FOXM1","Estrogen","PsychencodeTF",0.215300372713745,0.222981537279094,0.605879296683787
"299","FOXM1","Progesterone","PsychencodeTF",0.215300372713745,0.222981537279094,0.605879296683787
"300","FOXO3","Estrogen","PsychencodeTF",0.267809109723838,0.186411248646459,0.00134154704068129
