"","Gene","Function","logFC.EXPO1X","logFC.EXPO1000X","FDR","NDD","Thyroid","Estrogen","PPAR","Progesterone","Androgen","Retinoic","Corticoid"
"NEAT1","NEAT1","DEG",-0.510552094880037,-0.46093857265185,0.0396135053251309,"NO","NO","NO","NO","Progesterone","Androgen","NO","NO"
"NEFL","NEFL","DEG",0.17224824561444,-0.674960373302713,0.000117081046024042,"YES","NO","NO","NO","NO","NO","NO","Corticoid"
"NEGR1","NEGR1","DEG",-0.0435226180913717,-0.542190550590349,0.00164879395586794,"YES","NO","NO","PPAR","NO","NO","NO","NO"
"NEIL1","NEIL1","DEG",-0.133000476697795,-0.530218094983513,0.00309263272499865,"NO","NO","Estrogen","NO","NO","NO","NO","NO"
"NFE2L1","NFE2L1","PsychencodeTF",0.0248099757865733,0.193026154691834,0.0193324560443889,"NO","Thyroid","Estrogen","PPAR","NO","Androgen","Retinoic","Corticoid"
"NKD2","NKD2","DEG",-0.262834848570132,-0.844675245164736,0.0226793050219415,"NO","NO","Estrogen","NO","NO","NO","Retinoic","NO"
"NQO1","NQO1","DEG",0.18825517156082,0.598139621362394,0.00848403268924318,"NO","Thyroid","Estrogen","PPAR","NO","NO","Retinoic","NO"
"NR1D2","NR1D2","PsychencodeTF",0.185273672893754,0.132422752842898,0.0110802969988135,"NO","Thyroid","Estrogen","NO","Progesterone","NO","NO","Corticoid"
"NR2C1","NR2C1","PsychencodeTF",-0.233385652912258,-0.278303763025911,0.00889259014875534,"NO","Thyroid","NO","NO","NO","NO","Retinoic","NO"
"NR3C2","NR3C2","PsychencodeTF",0.0251848831344553,0.309674349192996,0.00980355612381733,"YES","Thyroid","NO","NO","NO","NO","NO","Corticoid"
