"","logFC.EXPO1X","logFC.EXPO1000X","FDR"
"GAD2",0.493754604895527,1.08599202135316,0.0379362264293274
"CRISPLD2",0.628482527757186,0.101087205408324,0.0379432471031565
"MEF2C",-0.0244277564561738,-0.319869370338206,0.0391610670511797
"NEAT1",-0.510552094880037,-0.46093857265185,0.0396135053251309
"TYMS",0.443327360350589,0.517562406018574,0.0396135053251309
"SCIN",-0.897438510116257,0.27397543697774,0.0396135053251309
"ATG9B",-0.549169640341461,-0.0904593331446291,0.0397295726220233
"FAM183A",-0.14142429466422,0.594330259660008,0.0402444423535211
"ROPN1L",-0.0843151757151438,0.850296654022096,0.0406559524664585
"TRAPPC5",0.581383265535418,0.593118708528309,0.0408613030437936
"RPLP1",0.214123615207517,0.588863062648015,0.0416094244828986
"BRINP3",-0.880345467969379,-0.313432903090704,0.042266792805655
"RELA",0.0428133461010799,0.13564191678651,0.04306753263541
"ZNF219",0.252740077847568,0.250665936263086,0.0432884333364317
"SGK2",-0.558265594476453,-0.599522173567086,0.0435907121106919
"EGF",-0.833542073649662,-0.342255916679542,0.0445673206164762
"SOD3",0.0666950376034523,0.946597917240904,0.0450345100235673
"PDIA2",-0.34175626539161,-0.578018871637952,0.0452010130150742
"GRHL3",-0.530398433010649,-0.984098821839543,0.0473804622750479
"RERG",0.588381613494822,-0.3326037177879,0.0477650239405871
"GRB14",-0.515442522941511,-0.0218124856126687,0.0487654624533458
"ENG",-0.224592642806124,-0.554890941615859,0.0492228536300098
"FOXP2",-0.57048773444805,0.0392195110355539,0.0495748997851194
"ZBTB7A",0.239967001466287,0.340341531511731,0.0496103882321382
"FRZB",0.0364910942196361,0.715110970585281,0.0497089609382218
"BGN",0.522504334339862,-0.146251504126308,0.0539465124030125
"SNRPG",-0.236433359137688,-0.167139327248132,0.0570266311636261
"KCNJ2",0.477824539207735,0.14511594702274,0.0581643311813748
"BCAT1",-0.0561520093184085,0.15788244479958,0.0602591357092784
"NPNT",0.68760431442601,0.329576693267192,0.0615556509236674
"ARID5B",-0.160047172489159,0.0602731344640798,0.0662656318250569
"CPT1A",0.0102887643545641,0.264139233829159,0.0673795248501483
"PCP4",0.13835466419445,0.625422372017526,0.075191879747717
"TMSB15A",-0.230088083631524,-0.0909730935546364,0.0759271148594078
"SOX4",-0.0792979462600295,0.100778613203948,0.0882283720094972
"PI15",-1.07932679224061,-0.226788973128767,0.0889445075977162
"GAS5",-0.205675663614506,-0.183470428596846,0.094318656650304
"AFAP1L2",0.292560379948256,-0.117650431004586,0.1015034944171
"RPL27",-0.185346997391489,-0.118143695970356,0.101677336778633
"STAT5B",0.120766130868178,0.0341266057559878,0.102602858843548
"PRELID2",-0.238629891512318,-0.240598963357426,0.121602633167551
"A1BG",0.27037138246693,0.355094132946168,0.139810374255503
"ALS2CL",-0.126959808827647,-0.352257852399043,0.141970052946522
"SKAP2",-0.319050610680995,-0.429289981436546,0.173759995769954
"MAFG",0.0127498968909192,0.119596345524952,0.174260468130681
"UPF3B",0.0328276980097893,-0.258683048235253,0.178895982031258
"ELK4",0.0146743508322895,-0.0727425794807491,0.179847951054525
"CEBPZ",0.0767477241455026,-0.00865744174384,0.216149678388787
"HEY1",0.170664561960817,-0.0598263281473642,0.222015411220817
"NCL",0.39212389459568,0.195344269590027,0.22341175881997
"ARNTL",-0.0797387787214474,-0.196112877945694,0.227737278391561
"CD74",0.0365941879882895,-0.397956361589273,0.233516644494659
"PPARA",0.180358336679976,0.138333077089943,0.249554960388779
"RARB",-0.186297098123702,-0.321857756522066,0.252872487223266
"OLIG1",-0.238338414386154,0.523513265889716,0.263915025339849
"SERPINA3",0.244820029788543,0.672403559725013,0.266302162131455
"NFE2L2",-0.0690998715127754,0.00740523947893326,0.29108193074264
"MTTP",-0.291602021708169,-0.294404947243447,0.300524428247278
"ITGA1",0.406595466746888,-0.144903963182646,0.321052671015835
"NRP1",-0.231128221805797,-0.289283770972387,0.329587874476025
